Create_User_Endpoint,content-type,UserName,Password,First_Name,Last_Name,Contact_Number,Email_Id,Plot_Number,Street,State,Country,ZipCode,Exp_statusCode,
 /createus/,application/json,Numpy@gmail.com,userapi@october,,,,,,,,,,404,Invalid Endpoint
 /createusers,application/json,,,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,401,No Auth
 /createusers,application/json,Numpy@gmail.com,userapi@october,,,,,19-a,Jersey Street,NewJersey,USA,7829,400,Without mandatory fields 
 /createusers,application/json,Numpy@gmail.com,userapi@october,,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,400,without firstName
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbu1234,,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,400,FirstName(Alpha Numberic)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,400,Last Name(empty)
,application/json,Numpy@gmail.com,userapi@october,Anbuselvi@@,TeamTeam,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,404,FirstName(spl Char)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,Team1234,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,400,LastName(AlphaNumberic)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,Team12$$35,8625769087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,400,LastName(SpecialChar)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,400,Contact number(without)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,"""""",Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,400,Contact number(NULL)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,86269087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,400,Contact number(less than 10 digits)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,86257694087,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,400,Contact number(more than 10 digits)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,Testing,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,400,Contact number (String)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,1234567845,Jersey@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,409,Existing Contact number
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,,19-a,Jersey Street,NewJersey,USA,7828,400,without EMail
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,jersygmail.com,19-a,Jersey Street,NewJersey,USA,7828,400,Invalid Email
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,njns@gmail.com,19-a,Jersey Street,NewJersey,USA,7828,409,Existing Email ID
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,,Jersey Street,NewJersey,USA,7828,400,Empty Plot number
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,109894,Jersey Street,NewJersey,USA,7828,400,Invalid Plot Number(onlynumbers)
 /createusers,application/json,Numpy@gmail.com,userapi@october,Anbuselvi,TeamTeam,8625769087,Jersey@gmail.com,sgfd,Jersey Street,NewJersey,USA,7828,400,Invalid Plot Number(onlyString)
